word,class,pass1,dupe,pass2,notes
slanderous,TRUE,1,,0,
slant,TRUE,NA,,0,
slap,TRUE,f,,0,
slaughter,TRUE,f,,0,
sleazy,TRUE,1,,1,
slothful,TRUE,1,,0,
sluggish,TRUE,1,,0,
slut,TRUE,1,,1,
smug,TRUE,f,,0,
smut,TRUE,f,,0,
sneaky,TRUE,f,,0,
sneer,TRUE,f,,0,
sneer,TRUE,f,dupe,0,
snout,TRUE,f,,0,
snowflake,TRUE,1,,1,
sour,TRUE,NA,,0,
spick,TRUE,1,,2,
spide,TRUE,NA,,1,
spigger,TRUE,NA,,2,
spiteful,TRUE,1,,0,
spitefulness,TRUE,1,,0,
spoil,TRUE,f,,0,
spurn,TRUE,f,,0,
squaw,TRUE,f,,0,
stench,TRUE,1,,0,
stink,TRUE,f,,0,
stink,TRUE,f,dupe,0,
stinking,TRUE,1,,1,
strange,TRUE,1,,0,
strangle,TRUE,f,,0,
stubborn,TRUE,f,,0,
substandard,TRUE,1,,1,
sucker,TRUE,1,,0,
sulk,TRUE,f,,0,
swagger,TRUE,f,,0,
swindle,TRUE,f,,0,
tantrum,TRUE,f,,0,
tart,TRUE,f,,0,
taunt,TRUE,f,,0,
tedious,TRUE,1,,0,
thoughtless,TRUE,1,,0,
throttle,TRUE,f,,0,
torment,TRUE,f,,0,
torment,TRUE,f,dupe,0,
torture,TRUE,f,,0,
torture,TRUE,f,dupe,0,
traitor,TRUE,1,,1,
tramp,TRUE,1,,1,
tranny,TRUE,1,,2,
travesty,TRUE,f,,0,
treasonous,TRUE,1,,0,
twat,TRUE,1,,1,
twink,TRUE,f,,0,
twisted,TRUE,1,,0,
tyrannical,TRUE,1,,0,
ugliness,TRUE,1,,0,
ugly,TRUE,1,,1,
unbearable,TRUE,1,,0,
uneasy,TRUE,f,,0,
unethical,TRUE,1,,0,
unfaithful,TRUE,1,,0,
unfeeling,TRUE,f,,0,
unhealthy,TRUE,f,,0,
unruly,TRUE,1,,0,
unwanted,TRUE,1,,1,
unworthy,TRUE,1,,1,
usurper,TRUE,1,,0,
vengeful,TRUE,f,,0,
viciousness,TRUE,f,,0,
vile,TRUE,1,,1,
violation,TRUE,f,,0,
violent,TRUE,1,,0,
viper,TRUE,f,,0,
vomit,TRUE,f,,0,
vulgar,TRUE,1,,0,
warped,TRUE,f,,0,
waste,TRUE,1,,1,
wastefulness,TRUE,f,,0,
wetback,TRUE,1,,2,
whine,TRUE,f,,0,
whore,TRUE,1,,1,
wigger,TRUE,1,,1,
wolly,TRUE,f,,0,
wop,TRUE,1,,1,
worthless,TRUE,1,,1,
wreck,TRUE,f,,0,
wreck,TRUE,f,dupe,0,
yarpie,TRUE,NA,,0,
yokel,TRUE,NA,,1,
zealot,TRUE,1,,0,
zigabo,TRUE,NA,,2,
