word,Leah's Judgements,comment
whine,Not abusive,
whore,Mildly abusive,
wigger,Mildly abusive,
wolly,Not abusive,
wop,Very abusive,
worthless,Mildly abusive,
wreck,Not abusive,
wreck,Not abusive,
yarpie,Very abusive,
yokel,Mildly abusive,
zealot,Mildly abusive,
zigabo,Mildly abusive,
